Type,Text,C3,C4,C5
spam,You have WON a guaranteed �1000 cash or a �2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,,,
ham,I am going to sleep. I am tired of travel.,,,
ham,4 oclock at mine. Just to bash out a flat plan.,,,
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",,,
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",,,
ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,,,
ham,Buy one egg for me da..please:),,,
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,,,
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.,,,
ham,"Yeah I am, so I'll leave maybe 7ish?",,,
ham,I just really need shit before tomorrow and I know you won't be awake before like 6,,,
ham,Okay... I booked all already... Including the one at bugis.,,,
ham,"Awesome, think we can get an 8th at usf some time tonight?",,,
spam,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp �1.50/msg.,,,
ham,Dunno lei he neva say...,,,
ham,"U so lousy, run already come back then half dead... Hee...",,,
ham,Free any day but i finish at 6 on mon n thurs...,,,
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,,,
ham,Also hi wesley how've you been,,,
ham,"Awesome, I'll see you in a bit",,,
ham,"And that's fine, I got enough bud to last most of the night at least",,,
ham,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,,,
ham,Sorry about that this is my mates phone and i didnt write it love Kate,,,
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX �1.50,,,
ham,Oh you got many responsibilities.,,,
ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com,,,
ham,Re your call; You didn't see my facebook huh?,,,
ham,i felt so...not any conveying reason.. Ese he... What about me?,,,
spam,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..,,,
ham,Shall i come to get pickle,,,
spam,"URGENT!: Your Mobile No. was awarded a �2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",,,
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,,,
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,,,
ham,"Not sure yet, still trying to get a hold of him",,,
ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?,,,
ham,Oh k...i'm watching here:),,,
ham,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,,,
ham,Where you. What happen,,,
ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,,,
ham,Nice.nice.how is it working?,,,
spam,"Latest Nokia Mobile or iPOD MP3 Player +�400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.�1,50/Mtmsgrcvd18+",,,
ham,When're you guys getting back? G said you were thinking about not staying for mcr,,,
ham,Ok but tell me half an hr b4 u come i need 2 prepare.,,,
ham,Were trying to find a Chinese food place around here,,,
ham,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,,,
ham,I thk 50 shd be ok he said plus minus 10.. Did �_ leave a line in between paragraphs?,,,
spam,Ur balance is now �500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,,,
ham,Sleeping nt feeling well,,,
ham,Nothing spl..wat abt u and whr ru?,,,
ham,CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES,,,
ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",,,
ham,Guess he wants alone time. We could just show up and watch when they do..,,,
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,,,
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,
ham,You still at grand prix?,,,
ham,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,,,
ham,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,,,
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",,,
ham,Can't take any major roles in community outreach. You rock mel,,,
ham,I'm in class. Will holla later,,,
ham,Old Orchard near univ. How about you?,,,
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec �1.50ea. OTBox 731 LA1 7WS. )",,,
ham,Oh k. . I will come tomorrow,,,
ham,Probably a couple hours tops,,,
