Type,Text,C3,C4,C5
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",,,
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,,,
ham,I said its okay. Sorry,,,
ham,A cute thought for friendship: \Its not necessary to share every secret with ur close Frnd," but watever u shared should be true\""....""",,
ham,"Not sure yet, still trying to get a hold of him",,,
ham,Mm you ask him to come its enough :-),,,
ham,Yo guess what I just dropped,,,
ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,,,
ham,O ic lol. Should play 9 doors sometime yo,,,
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec �1.50ea. OTBox 731 LA1 7WS. )",,,
ham,"I keep seeing weird shit and bein all \woah\"" then realising it's actually reasonable and I'm all \""oh\""""",,,
ham,Ok... Let u noe when i leave my house.,,,
ham,Sorry me going home first... Daddy come fetch �_ later...,,,
ham,Apo all other are mokka players only,,,
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,,,
ham,Wherre's my boytoy ? :-(,,,
ham,We can go 4 e normal pilates after our intro...  ,,,
ham,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,,,
ham,Do you know when the result.,,,
ham,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)""",,,
ham,"K, can that happen tonight?",,,
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",,,
ham,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\""""",,,
ham,Be happy there. I will come after noon,,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a �800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,,,
ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",,,
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",,,
spam,"You are a �1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",,,
ham,Shall I bring us a bottle of wine to keep us amused? Only joking! I���ll bring one anyway,,,
ham,Tell me something. Thats okay.,,,
ham,Do you know when dad will be back?,,,
ham,"Yeah why not, is the gang all ready",,,
ham,I just really need shit before tomorrow and I know you won't be awake before like 6,,,
ham,Well its not like you actually called someone a punto. That woulda been worse.,,,
ham,If he started searching he will get job in few days.he have great potential and talent.,,,
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",,,
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,
ham,Thankyou so much for the call. I appreciate your care.,,,
ham,A guy who gets used but is too dumb to realize it.,,,
ham,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",,,
ham,I've sent �_ my part..,,,
spam,You are a winner U have been specially selected 2 receive �1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,,,
ham,"I call you later, don't have network. If urgnt, sms me.",,,
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",
ham,K.k:)when are you going?,,,
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",,,
ham,I dont know ask to my brother. Nothing problem some thing that. Just i told .,,,
